date,usd_per_eur,usd_per_gbp,usd_per_jpy
2020-11-30,1.1948,1.3338,0.009580379383023568
2020-12-01,1.2039,1.3392,0.009578544061302681
2020-12-02,1.2093,1.3348,0.009567546880979718
2020-12-03,1.2152,1.3496,0.009636696540425942
2020-12-04,1.2142,1.3485,0.009600614439324117
2020-12-07,1.2138,1.3353,0.009614460148062685
2020-12-08,1.2111,1.3358,0.009602458229306703
2020-12-09,1.208,1.3392,0.009589566551591868
2020-12-10,1.2118,1.3293,0.009587727708533078
2020-12-11,1.2112,1.3197,0.009626492106276474
2020-12-14,1.2145,1.3324,0.009609840476648087
2020-12-15,1.2158,1.3434,0.009644131545954287
2020-12-16,1.2175,1.3503,0.009653441451877595
2020-12-17,1.2258,1.3609,0.00969649956365752
2020-12-18,1.2236,1.3497,0.009675858732462506
2020-12-21,1.223,1.3354,0.009667440061871617
2020-12-22,1.2172,1.3349,0.009650646593321752
2020-12-23,1.2194,1.351,0.009659969088098918
2020-12-24,,,
2020-12-25,,,
2020-12-28,1.2213,1.3447,0.00963020030816641
2020-12-29,1.2252,1.3512,0.00966183574879227
2020-12-30,1.228,1.3605,0.009679605072113058
2020-12-31,1.223,1.3662,0.009690861517588915
2021-01-01,,,
2021-01-04,1.2254,1.3551,0.009690861517588915
2021-01-05,1.2295,1.362,0.00973709834469328
2021-01-06,1.229,1.3593,0.009685230024213076
2021-01-07,1.2265,1.3551,0.00963020030816641
2021-01-08,1.2252,1.3583,0.009625565501973242
2021-01-11,1.2169,1.3522,0.009600614439324117
2021-01-12,1.2168,1.3637,0.009607070804111826
2021-01-13,1.2159,1.3631,0.0096237128284092
2021-01-14,1.2156,1.369,0.009646922631680495
2021-01-15,1.2099,1.3599,0.009633911368015415
2021-01-18,,,
2021-01-19,1.2126,1.3627,0.009628345850182938
2021-01-20,,,
2021-01-21,1.2143,1.3721,0.009655305590421938
2021-01-22,1.2179,1.3685,0.009637625289128758
2021-01-25,1.2138,1.3668,0.009635767970707265
2021-01-26,1.2147,1.3729,0.009644131545954287
2021-01-27,1.2101,1.3688,0.009607070804111826
2021-01-28,1.2122,1.3727,0.009586808551433228
2021-01-29,1.2135,1.3723,0.0095565749235474
2021-02-01,1.207,1.3672,0.00952653138992093
2021-02-02,1.202,1.3644,0.009515653249595584
2021-02-03,1.2025,1.3652,0.00951927653498334
2021-02-04,1.1974,1.3665,0.009484966328369534
2021-02-05,1.2035,1.3714,0.009484066767830045
2021-02-08,1.2045,1.3738,0.00950660709192889
2021-02-09,1.2106,1.3796,0.009558401835213151
2021-02-10,1.2132,1.385,0.009553835865099837
2021-02-11,1.2127,1.3822,0.00954653937947494
2021-02-12,1.2126,1.3855,0.00952925481227368
2021-02-15,,,
2021-02-16,1.2107,1.391,0.009444654325651681
2021-02-17,1.2042,1.3848,0.009449116507606539
2021-02-18,1.2078,1.3956,0.009461633077869241
2021-02-19,1.2136,1.4025,0.009471490812653912
2021-02-22,1.2155,1.4077,0.009518370454978107
2021-02-23,1.2142,1.4092,0.009504799923961601
2021-02-24,1.2143,1.4106,0.009441979038806534
2021-02-25,1.2229,1.4105,0.009414422895876483
2021-02-26,1.2093,1.3947,0.009377344336084021
2021-03-01,1.2054,1.3938,0.009373828271466066
2021-03-02,1.2079,1.3962,0.00936768149882904
2021-03-03,1.2073,1.3978,0.009352787130564907
2021-03-04,1.2045,1.3999,0.009295408068414203
2021-03-05,1.1914,1.3817,0.009238728750923873
2021-03-08,1.1849,1.381,0.00918105031215571
2021-03-09,1.1885,1.3884,0.009204712812960236
2021-03-10,1.19,1.3899,0.009209799226376865
2021-03-11,1.1978,1.398,0.009221689413500553
2021-03-12,1.1952,1.3925,0.009185266832001469
2021-03-15,1.1917,1.3866,0.009165062780680048
2021-03-16,1.1895,1.3892,0.009173470323823502
2021-03-17,1.1905,1.3888,0.009155832265152902
2021-03-18,1.1926,1.3938,0.009176837661741764
2021-03-19,1.1909,1.3872,0.009186954524575104
2021-03-22,1.1932,1.3856,0.009202171712524156
2021-03-23,1.1872,1.3795,0.009207255317189945
2021-03-24,1.1831,1.3723,0.009190331770976933
2021-03-25,1.1777,1.3722,0.009163383121048292
2021-03-26,1.1798,1.3794,0.009128251939753538
2021-03-29,1.1779,1.3793,0.009113278046113187
2021-03-30,1.1724,1.3729,0.009075233687267448
2021-03-31,1.1743,1.3795,0.009040773890245005
2021-04-01,1.1772,1.3825,0.009040773890245005
2021-04-02,1.1763,1.3825,0.009035872413481522
2021-04-05,1.181,1.3907,0.009084302325581396
2021-04-06,1.1852,1.3849,0.009104980424292088
2021-04-07,1.189,1.3757,0.009118263882556762
2021-04-08,1.1904,1.3739,0.009153318077803204
2021-04-09,1.1897,1.3734,0.009120758847136081
2021-04-12,1.1907,1.3741,0.009138261902586127
2021-04-13,1.1939,1.3742,0.009158347834050737
2021-04-14,1.1974,1.379,0.009180207472688882
2021-04-15,1.1964,1.3781,0.009192866335723478
2021-04-16,1.198,1.3826,0.009192866335723478
2021-04-19,1.2028,1.3977,0.00925154963456379
2021-04-20,1.2045,1.3955,0.009253261774775609
2021-04-21,1.2033,1.3936,0.00925154963456379
2021-04-22,1.2012,1.3851,0.00924470740501063
2021-04-23,1.2069,1.3845,0.009264406151565685
2021-04-26,1.2083,1.389,0.00924898261191269
2021-04-27,1.2079,1.3908,0.009211495946941784
2021-04-28,1.2098,1.3917,0.009190331770976933
2021-04-29,1.211,1.3956,0.009179364787956673
2021-04-30,1.203,1.3838,0.00914662032379036
2021-05-03,1.2059,1.3913,0.009167583425009168
2021-05-04,1.2014,1.3873,0.009145783793671118
2021-05-05,1.2003,1.3913,0.009151642719868217
2021-05-06,1.2049,1.388,0.009160025648071814
2021-05-07,1.2165,1.4,0.009214891264283083
2021-05-10,1.217,1.4153,0.00919963201471941
2021-05-11,1.2169,1.4149,0.009214042200313277
2021-05-12,1.2074,1.4081,0.009129918743723181
2021-05-13,1.207,1.4033,0.009127418765972983
2021-05-14,1.2141,1.4096,0.009143275121148394
2021-05-17,1.2155,1.4127,0.009160025648071814
2021-05-18,1.2203,1.4184,0.009173470323823502
2021-05-19,1.2216,1.4169,0.009194556822361161
2021-05-20,1.2225,1.4182,0.009192021325489474
2021-05-21,1.2178,1.4158,0.009179364787956673
2021-05-24,1.221,1.4147,0.009190331770976933
2021-05-25,1.2233,1.4123,0.009178522257916474
2021-05-26,1.2204,1.4129,0.00916590284142988
2021-05-27,1.2194,1.4172,0.009106638739641197
2021-05-28,1.2194,1.4188,0.009104980424292088
2021-05-31,,,
2021-06-01,1.2241,1.4168,0.009138261902586127
2021-06-02,1.2213,1.4177,0.009124920156948626
2021-06-03,1.2122,1.4099,0.009067827348567283
2021-06-04,1.2173,1.4175,0.009139097057210747
2021-06-07,1.22,1.4179,0.009153318077803204
2021-06-08,1.218,1.4146,0.009134922809902257
2021-06-09,1.2184,1.4124,0.009123255177447314
